x,y,t
121,122,0
113,129,0.589
115,124,0.796
116,120,0.877
114,117,1.062
111,114,1.281
107,114,1.357
103,116,1.631
100,121,1.978
96,124,2.054
94,127,2.08
90,131,2.159
86,134,2.247
85,138,2.419
88,145,2.504
88,148,2.518
92,151,2.591
92,154,2.616
93,158,2.728
94,163,2.777
97,167,3.041
101,171,3.137
103,176,3.313
105,180,3.425
107,185,3.48
109,189,3.63
113,190,3.688
118,191,3.81
122,191,3.913
127,190,3.986
131,191,4.035
134,190,4.059
139,190,4.147
143,190,4.201
147,189,4.283
150,187,4.307
155,186,4.379
159,181,4.41
163,176,4.451
167,172,4.506
169,169,4.539
171,166,4.555
174,161,4.594
177,157,4.677
180,153,4.763
181,150,4.776
183,146,4.828
183,142,4.923
185,137,4.972
184,133,5.019
185,128,5.068
184,124,5.107
184,120,5.181
183,117,5.205
181,112,5.269
180,108,5.356
180,105,5.437
181,100,5.477
180,96,5.661
176,92,5.814
172,88,5.889
168,85,5.957
165,81,6.06
163,78,6.093
162,75,6.118
159,70,6.23
155,66,6.293
152,62,6.349
149,58,6.41
147,55,6.43
147,52,6.446
146,49,6.462
144,44,6.501
143,41,6.527
142,38,6.623
139,36,6.647
134,35,6.686
130,33,6.743
125,31,6.798
121,31,6.819
117,31,6.831
114,32,6.84
110,32,6.855
105,33,6.879
98,35,6.96
85,40,7.047
82,41,7.152
79,43,7.168
75,45,7.183
70,49,7.207
66,52,7.28
63,54,7.296
59,58,7.312
55,61,7.328
50,64,7.352
48,67,7.376
48,72,7.449
46,77,7.48
45,80,7.497
45,83,7.513
45,88,7.549
43,92,7.584
41,96,7.601
38,101,7.632
36,105,7.65
35,108,7.673
34,113,7.704
34,116,7.721
34,120,7.737
34,123,7.746
34,128,7.762
35,132,7.776
36,138,7.8
36,141,7.817
36,145,7.833
37,150,7.853
37,153,7.862
38,156,7.872
39,160,7.882
40,165,7.896
41,168,7.913
42,173,7.929
43,178,7.945
44,181,7.961
46,184,7.971
47,187,7.98
50,191,8
51,194,8.025
53,198,8.048
55,201,8.069
59,206,8.114
71,222,8.191
74,228,8.214
79,233,8.248
82,235,8.265
87,236,8.288
90,237,8.307
94,237,8.344
99,237,8.376
105,238,8.409
110,238,8.432
113,237,8.449
117,238,8.509
121,238,8.529
126,237,8.56
129,235,8.577
134,234,8.617
138,232,8.664
141,231,8.681
146,229,8.713
150,226,8.744
155,223,8.776
159,220,8.833
164,216,8.864
169,211,8.896
173,208,8.937
175,205,8.97
178,201,9.001
181,197,9.033
182,194,9.05
186,189,9.081
189,186,9.098
191,183,9.118
193,180,9.131
194,176,9.147
196,173,9.171
197,169,9.187
198,157,9.242
199,153,9.264
199,149,9.28
200,144,9.293
201,140,9.336
203,134,9.346
201,118,9.432
200,115,9.446
199,112,9.459
198,109,9.475
197,106,9.491
197,103,9.507
196,99,9.523
196,96,9.539
196,93,9.555
196,89,9.571
196,84,9.594
196,78,9.618
196,75,9.635
196,70,9.667
196,67,9.676
196,62,9.699
194,55,9.734
192,50,9.756
190,47,9.772
189,44,9.788
187,41,9.804
184,37,9.819
182,33,9.836
180,29,9.875
178,26,9.892
175,25,9.908
172,21,9.936
168,15,9.958
166,12,9.967
163,10,9.977
160,7,9.986
155,3,9.996
151,1,10.011
147,-2,10.06
151,-6,10.1
155,-9,10.108
