x,y,t
100,128,0
105,127,0.371
105,132,0.456
104,135,0.502
104,139,0.75
106,144,0.797
107,147,0.822
110,151,0.886
114,153,1.014
110,153,1.429
107,153,1.453
102,150,1.582
101,146,1.718
105,147,1.806
109,146,1.966
112,147,2
116,149,2.15
120,147,2.479
123,143,2.534
127,142,2.721
131,137,2.847
132,133,2.935
133,128,2.999
134,123,3.046
134,118,3.127
136,113,3.166
135,108,3.248
133,102,3.303
128,100,3.359
124,98,3.407
120,94,3.455
116,93,3.537
112,91,3.592
108,91,3.665
105,91,3.689
101,92,3.73
92,93,3.844
88,95,3.912
85,99,3.993
83,102,4.041
80,106,4.12
80,109,4.145
79,114,4.176
78,117,4.209
78,120,4.225
77,124,4.257
77,128,4.288
77,131,4.313
77,136,4.352
77,139,4.369
77,144,4.4
78,147,4.417
79,150,4.433
80,154,4.449
81,157,4.468
85,161,4.496
87,164,4.521
90,166,4.537
93,170,4.57
96,174,4.6
97,178,4.625
101,183,4.668
104,185,4.689
109,187,4.728
113,190,4.849
115,186,4.991
113,182,5.036
109,180,5.105
109,185,5.266
112,187,5.322
116,188,5.427
120,186,5.523
124,185,5.578
128,181,5.683
127,176,5.803
129,172,5.882
133,170,6.002
137,169,6.127
140,165,6.171
144,161,6.252
149,157,6.316
153,153,6.436
156,148,6.512
157,145,6.54
159,140,6.579
160,136,6.652
161,133,6.676
161,130,6.7
162,126,6.748
162,123,6.772
162,118,6.804
162,113,6.836
161,109,6.867
160,104,6.9
158,97,6.936
157,94,6.948
154,90,6.98
153,87,6.996
151,82,7.02
149,79,7.037
147,73,7.059
145,69,7.076
142,67,7.092
141,64,7.108
138,59,7.132
136,56,7.153
134,53,7.166
130,48,7.203
121,46,7.289
118,48,7.303
115,49,7.312
113,52,7.324
109,55,7.363
105,58,7.396
100,61,7.427
95,63,7.467
90,62,7.531
86,65,7.579
82,65,7.659
79,66,7.7
77,69,7.724
72,72,7.763
68,77,7.796
65,79,7.812
62,83,7.828
59,86,7.844
56,88,7.86
53,90,7.876
49,95,7.908
45,100,7.939
43,103,7.956
39,107,7.988
38,110,8.004
36,113,8.02
34,116,8.036
32,121,8.067
31,125,8.108
31,128,8.124
32,131,8.14
32,136,8.171
32,140,8.188
32,143,8.205
33,146,8.221
36,151,8.244
40,156,8.276
42,161,8.342
44,166,8.352
59,178,8.439
60,181,8.454
61,184,8.463
64,188,8.492
69,191,8.524
73,195,8.565
78,197,8.612
81,197,8.629
86,199,8.66
89,203,8.708
92,206,8.743
97,207,8.773
100,208,8.79
104,210,8.854
108,209,8.909
113,208,9.03
118,207,9.102
123,206,9.151
127,206,9.19
130,205,9.215
134,204,9.271
138,204,9.326
141,203,9.351
145,202,9.414
150,199,9.49
157,193,9.567
162,189,9.593
165,187,9.607
168,186,9.623
171,182,9.687
174,177,9.726
178,172,9.783
182,167,9.814
184,164,9.831
187,161,9.847
192,157,9.887
195,154,9.903
198,152,9.919
200,149,9.935
203,147,9.951
205,142,10.023
204,137,10.071
201,133,10.126
199,130,10.159
196,125,10.199
195,122,10.215
194,117,10.238
192,112,10.262
189,106,10.303
188,101,10.318
187,97,10.334
185,90,10.358
184,87,10.386
181,84,10.407
180,81,10.423
179,77,10.447
178,74,10.463
174,69,10.51
172,66,10.527
170,63,10.551
170,60,10.567
169,57,10.583
168,53,10.6
166,50,10.617
163,46,10.654
156,39,10.74
151,38,10.791
148,34,10.871
144,32,10.938
141,28,11.031
138,24,11.231
134,25,11.407
131,26,11.455
127,28,11.535
