x,y,t
115,122,0
114,118,0.171
110,116,0.391
106,116,0.545
102,117,0.665
98,121,0.801
94,125,0.962
93,129,1.196
93,133,1.266
95,138,1.378
97,142,1.53
101,146,1.723
104,150,1.946
108,151,2.17
112,153,2.428
116,154,2.725
120,154,3.002
124,154,3.261
128,152,3.525
132,149,3.69
135,146,3.931
139,142,4.106
141,139,4.242
143,135,4.464
146,131,4.603
147,128,4.651
147,124,4.881
147,120,4.947
147,116,5.083
147,112,5.292
147,109,5.372
147,105,5.468
146,101,5.636
142,97,5.836
138,94,5.989
134,90,6.205
131,86,6.413
127,83,6.655
123,81,6.821
119,81,6.998
114,80,7.18
110,81,7.339
106,81,7.469
102,81,7.519
98,82,7.597
94,82,7.735
90,84,7.861
85,84,7.994
81,87,8.119
77,90,8.217
73,94,8.337
69,98,8.546
66,102,8.593
63,106,8.697
61,111,8.809
59,115,8.905
58,119,9.033
58,122,9.081
57,126,9.145
58,129,9.209
58,133,9.289
58,136,9.331
59,141,9.465
60,145,9.554
61,149,9.736
63,153,9.882
65,156,9.938
69,160,10.037
73,163,10.139
77,167,10.283
80,172,10.403
83,176,10.563
87,180,10.699
91,183,10.937
95,184,10.963
99,185,11.027
103,185,11.107
107,187,11.227
111,187,11.348
115,187,11.465
119,188,11.54
123,188,11.636
127,188,11.788
132,187,11.908
136,185,12.012
140,184,12.177
144,182,12.236
148,181,12.372
152,178,12.492
156,175,12.588
159,172,12.689
163,168,12.772
164,165,12.823
167,161,12.964
172,155,13.165
174,152,13.171
175,149,13.212
177,145,13.336
179,141,13.462
181,137,13.517
182,132,13.653
182,128,13.757
183,124,13.878
183,120,13.966
183,116,14.038
183,112,14.126
182,108,14.23
182,103,14.278
181,98,14.359
179,94,14.485
177,90,14.644
174,86,14.666
173,83,14.703
171,79,14.784
170,75,14.863
167,70,14.984
164,66,15.169
160,63,15.314
156,60,15.438
152,58,15.564
148,56,15.695
144,54,15.852
141,53,15.869
137,50,15.93
133,49,16.01
129,47,16.121
126,47,16.162
122,46,16.25
118,45,16.33
113,45,16.418
108,45,16.508
104,45,16.562
100,46,16.658
96,46,16.775
92,47,16.825
88,47,16.902
81,47,17.084
77,48,17.103
74,52,17.162
70,53,17.345
66,56,17.411
62,59,17.491
59,62,17.611
55,65,17.676
51,69,17.815
47,73,17.899
44,76,18
41,78,18.028
38,82,18.131
34,86,18.18
31,90,18.268
26,100,18.423
25,104,18.48
25,108,18.555
24,113,18.606
24,117,18.686
25,121,18.734
25,125,18.819
25,129,18.838
25,133,18.902
25,138,18.983
26,143,19.039
27,147,19.119
28,151,19.218
29,154,19.256
30,158,19.368
31,162,19.475
32,166,19.632
33,171,19.656
34,175,19.769
36,179,19.848
39,183,19.952
43,186,20.056
47,190,20.158
50,193,20.209
54,196,20.292
58,200,20.361
61,201,20.425
65,203,20.473
69,205,20.551
73,208,20.633
76,209,20.682
80,211,20.839
84,214,20.874
87,215,20.914
91,216,21.01
95,217,21.13
99,218,21.234
103,219,21.282
107,220,21.365
111,220,21.504
115,220,21.634
119,221,21.706
123,221,21.778
128,221,21.842
132,221,21.916
139,220,22.051
143,220,22.068
147,219,22.129
150,218,22.189
154,216,22.21
158,214,22.258
163,213,22.323
167,211,22.386
171,208,22.466
175,204,22.538
178,203,22.58
182,200,22.65
186,197,22.754
192,190,22.923
196,186,22.987
199,182,23.181
202,178,23.619
204,174,23.883
205,171,23.991
207,167,24.059
210,163,24.179
212,159,24.257
214,154,24.307
216,150,24.388
217,146,24.434
218,142,24.601
219,137,24.616
220,133,24.668
220,129,24.724
221,124,24.796
221,120,24.884
221,116,24.956
222,112,25.02
222,107,25.137
221,103,25.22
219,99,25.321
218,96,25.38
215,92,25.476
213,87,25.579
211,83,25.629
210,80,25.661
208,76,25.726
205,70,25.869
203,66,25.917
202,63,25.957
199,59,26.053
196,55,26.149
192,51,26.27
190,48,26.326
187,46,26.395
184,43,26.462
182,40,26.53
178,36,26.606
174,33,26.702
169,30,26.79
165,27,26.854
161,25,26.929
158,25,26.965
