x,y,t
110,121,0
109,117,0.142
105,115,0.232
101,116,0.319
98,119,0.384
95,123,0.472
92,128,0.574
93,134,0.728
94,137,0.737
97,141,0.776
99,146,0.86
102,150,0.944
106,151,1.041
109,152,1.073
113,152,1.138
117,151,1.193
121,150,1.26
125,148,1.313
128,148,1.346
132,145,1.41
136,141,1.467
140,138,1.54
141,135,1.571
144,131,1.675
146,126,1.715
146,122,1.757
147,117,1.81
146,113,1.853
145,106,1.957
143,103,1.974
141,99,2.035
138,95,2.148
136,92,2.219
133,88,2.276
129,84,2.364
125,81,2.419
120,79,2.487
116,77,2.539
112,77,2.613
108,77,2.66
105,77,2.684
100,77,2.742
95,78,2.781
90,79,2.828
86,80,2.88
83,81,2.901
79,83,2.956
74,86,3.008
67,94,3.154
63,99,3.172
61,102,3.189
58,107,3.244
57,110,3.292
55,115,3.325
55,120,3.372
54,124,3.429
54,127,3.453
55,132,3.501
55,137,3.549
56,141,3.597
57,144,3.629
59,149,3.701
63,154,3.767
65,158,3.829
68,163,3.9
72,167,3.965
74,171,4.016
78,176,4.092
82,179,4.202
85,183,4.259
89,187,4.362
93,189,4.383
96,189,4.43
100,190,4.521
104,190,4.557
108,190,4.597
113,190,4.652
118,189,4.686
123,188,4.734
128,187,4.787
133,185,4.821
137,182,4.87
140,181,4.909
144,179,4.95
148,177,5.04
153,174,5.102
159,171,5.205
161,168,5.23
165,165,5.306
167,162,5.335
171,157,5.429
173,153,5.447
174,150,5.471
175,146,5.526
176,143,5.569
178,133,5.721
179,129,5.738
179,124,5.791
179,120,5.891
180,117,5.919
179,113,5.985
179,108,6.031
178,101,6.12
177,98,6.143
176,94,6.19
174,89,6.25
173,86,6.271
171,81,6.381
168,77,6.431
167,74,6.471
163,70,6.551
159,66,6.638
155,62,6.695
151,58,6.769
143,54,6.927
140,53,6.944
136,50,6.984
132,49,7.063
128,47,7.12
125,46,7.152
121,45,7.232
113,45,7.345
108,45,7.392
103,46,7.44
99,47,7.504
94,47,7.568
90,48,7.683
86,46,7.824
82,47,7.912
79,48,7.952
74,48,8.012
70,51,8.16
65,52,8.169
61,55,8.215
54,59,8.293
52,62,8.312
48,65,8.368
43,69,8.442
40,72,8.521
38,76,8.56
35,79,8.617
32,83,8.69
31,86,8.713
29,90,8.761
28,93,8.822
26,97,8.848
25,100,8.892
24,103,8.95
23,106,8.961
21,110,9.041
21,113,9.08
19,118,9.121
19,125,9.211
18,129,9.263
19,135,9.365
20,140,9.382
20,143,9.401
20,147,9.44
21,150,9.495
21,154,9.504
23,158,9.537
23,161,9.561
25,165,9.63
27,169,9.665
29,172,9.697
32,177,9.764
35,182,9.817
40,185,9.89
43,189,9.953
45,192,10.022
49,197,10.057
51,201,10.174
54,206,10.186
57,211,10.257
61,214,10.337
65,215,10.392
68,216,10.44
72,216,10.472
76,217,10.526
80,218,10.586
83,219,10.588
90,222,10.673
94,224,10.715
99,225,10.753
104,226,10.809
108,226,10.849
112,226,10.889
115,226,10.913
119,226,10.979
124,224,11.017
129,223,11.064
133,221,11.121
137,220,11.168
141,219,11.238
146,218,11.284
150,217,11.369
154,216,11.402
157,215,11.434
161,213,11.501
165,211,11.545
168,209,11.57
172,207,11.634
176,204,11.681
182,199,11.778
186,196,11.863
189,194,11.872
192,190,11.929
194,187,11.962
198,182,12.037
200,178,12.075
203,173,12.122
206,168,12.177
208,164,12.218
210,159,12.304
211,155,12.362
212,152,12.379
213,148,12.435
214,144,12.49
214,141,12.515
215,137,12.587
216,132,12.652
216,128,12.724
216,125,12.748
216,121,12.806
216,116,12.853
216,113,12.884
216,109,12.931
216,105,12.983
216,96,13.128
215,92,13.146
215,89,13.172
213,85,13.259
212,80,13.291
210,76,13.39
208,71,13.436
205,67,13.525
202,63,13.588
201,60,13.612
199,56,13.7
198,53,13.732
195,49,13.804
192,44,13.913
189,40,14.004
185,36,14.092
181,33,14.175
174,29,14.332
170,27,14.342
166,25,14.4
163,24,14.465
159,22,14.501
155,21,14.595
157,18,14.797
