x,y,t
107,127,0
108,124,0.478
108,121,0.566
111,117,0.792
114,114,0.92
114,109,1.163
115,105,1.456
117,99,2.313
119,96,2.336
121,93,2.376
105,120,4.324
100,119,4.532
96,120,4.684
92,124,4.868
89,128,5.076
86,132,5.397
84,137,5.909
84,141,6.365
85,146,7.006
88,149,7.422
91,150,7.622
95,153,7.957
99,154,8.214
103,156,8.438
108,157,8.574
112,157,8.75
116,156,8.862
119,155,8.95
123,154,9.07
127,151,9.181
131,148,9.301
135,147,9.544
139,145,9.703
143,143,10.079
147,141,10.328
149,137,10.448
151,132,10.567
152,128,10.704
152,123,10.795
151,119,10.888
150,114,11.041
148,110,11.176
147,106,11.264
147,103,11.314
146,99,11.508
144,95,11.634
143,92,11.698
140,88,11.828
138,84,11.97
134,81,12.162
130,78,12.362
127,74,12.489
122,72,12.65
118,70,12.754
112,68,12.94
108,67,13.034
105,66,13.138
101,64,13.29
97,64,13.515
102,59,14.403
98,59,14.595
94,61,14.707
89,63,14.891
85,66,15.002
81,70,15.066
78,74,15.208
75,79,15.332
71,83,15.54
67,86,15.805
64,91,15.988
61,95,16.272
59,100,16.517
58,104,16.901
57,109,17.262
57,113,17.717
59,118,18.461
61,122,19.11
63,125,20.522
62,129,20.951
62,132,21.205
62,136,21.597
62,141,21.976
61,145,23.325
59,149,23.525
59,154,23.957
59,158,24.237
59,163,24.349
60,167,24.549
61,171,24.709
63,174,24.87
66,178,25.19
70,178,25.346
74,182,25.583
78,186,25.783
82,187,26.184
86,189,26.824
90,191,27.2
95,193,27.587
99,194,27.851
104,196,28.076
108,195,28.244
112,193,28.405
117,192,28.534
121,191,28.601
125,189,28.712
129,187,28.872
130,184,28.904
135,182,28.96
138,179,29.049
140,176,29.177
143,175,29.233
146,171,29.625
142,171,30.14
139,172,30.18
139,175,30.863
144,175,31.19
148,173,31.518
152,171,31.89
156,167,32.114
160,163,32.256
163,160,32.431
167,156,32.609
171,152,32.776
175,149,32.896
178,145,33.013
178,142,33.089
180,138,33.219
182,133,33.337
181,129,33.441
180,124,33.625
178,120,33.842
177,115,34.026
176,111,34.129
173,104,34.364
172,100,34.564
171,96,34.802
170,93,34.898
168,89,35.13
164,85,35.38
162,82,35.546
157,82,35.818
153,81,36.002
148,80,36.25
144,80,36.739
144,77,36.995
142,73,37.423
140,68,37.916
140,64,38.205
136,61,38.461
132,58,38.685
130,55,38.856
126,52,39.189
130,55,40.578
131,52,40.601
130,48,40.69
129,51,40.947
125,50,41.123
122,50,41.171
118,48,41.242
113,48,41.331
109,48,41.459
106,50,41.619
102,51,41.69
99,51,41.723
95,52,41.77
90,54,41.842
86,57,43.171
84,61,43.499
82,65,44.539
81,69,44.851
77,73,45.213
75,77,45.437
73,82,45.637
71,86,46.062
69,90,46.51
68,93,46.721
66,97,47.038
65,101,47.318
62,105,47.647
61,108,47.84
59,112,47.983
57,116,48.377
56,119,48.512
54,123,48.826
54,127,49.066
53,131,49.338
53,134,49.45
52,138,49.668
53,143,50.085
52,146,50.208
53,150,50.394
54,155,50.882
54,159,51.232
55,163,51.378
56,166,51.458
56,170,51.699
58,175,52.061
60,179,52.276
61,184,52.694
63,188,52.918
63,192,53.182
65,197,53.494
69,201,53.782
74,204,54.11
78,207,54.603
82,209,55.056
86,211,55.192
89,212,55.236
93,213,55.449
97,214,55.521
101,215,55.584
106,215,55.65
110,217,55.753
113,217,55.865
117,216,55.93
121,216,56.186
125,215,56.506
130,214,56.684
134,213,56.723
137,212,56.751
141,211,57.084
145,209,57.412
149,207,57.66
153,206,57.731
157,204,57.886
164,201,57.994
168,199,58.26
172,197,58.348
176,194,58.499
180,190,58.691
184,186,58.899
186,182,59.197
189,178,59.341
191,173,59.501
193,169,59.669
194,165,60.005
195,162,60.279
198,158,60.349
200,154,60.509
202,150,60.711
201,147,60.823
203,143,60.967
205,140,61.055
206,136,61.166
207,133,61.231
209,129,61.42
209,125,61.687
208,122,61.783
205,118,62.159
203,114,62.312
201,111,62.464
197,107,62.562
196,103,62.651
196,100,62.688
197,96,62.857
196,91,62.985
194,87,63.113
193,83,63.192
193,80,63.233
195,76,63.369
195,73,63.4
196,69,63.465
195,65,63.544
194,62,63.601
191,56,63.691
188,51,63.752
187,47,63.85
186,44,63.899
185,40,63.99
183,36,64.074
180,34,64.147
178,30,64.274
175,29,64.339
172,25,64.587
169,21,64.806
167,16,64.892
166,12,65.069
164,8,65.311
162,5,65.431
