x,y,t
105,124,0
111,117,3.928
110,113,4.185
106,111,4.754
102,111,5.226
98,115,5.534
94,118,5.971
90,121,6.163
89,125,6.363
88,129,6.556
88,133,6.796
89,137,7.262
92,141,7.518
96,144,7.695
100,147,8.04
104,147,8.441
108,147,8.577
112,147,8.778
116,147,9.074
120,146,9.527
124,143,9.75
128,141,9.878
132,138,9.99
136,134,10.224
139,130,10.465
141,125,10.634
144,121,10.745
145,116,10.867
144,111,10.946
143,107,11.059
142,104,11.147
140,100,11.323
137,96,11.476
133,94,11.595
129,91,11.71
125,88,11.803
122,86,11.868
118,84,12.077
113,82,12.206
109,82,12.324
105,82,12.512
101,81,12.608
97,81,12.695
93,81,12.852
89,83,12.977
84,84,13.073
80,84,13.21
76,85,13.291
72,87,13.444
68,91,13.589
65,94,13.716
63,97,13.772
60,100,13.908
56,103,14.061
54,108,14.229
52,112,14.405
51,116,14.485
50,121,14.64
50,125,14.749
51,129,14.837
51,132,14.885
51,136,15.109
51,141,15.189
51,145,15.389
54,150,15.541
56,154,15.772
59,158,15.909
61,161,15.997
64,165,16.093
67,169,16.228
70,171,16.285
74,173,16.605
76,176,16.726
80,178,16.997
84,179,17.617
88,178,17.778
92,179,17.893
96,179,18.987
85,182,20.584
89,183,20.728
92,184,20.776
96,185,20.864
100,186,20.955
104,186,21.04
109,186,21.168
113,186,21.353
117,184,21.492
121,181,21.562
125,180,21.684
129,178,21.794
133,178,21.857
137,177,21.938
141,175,22.026
145,173,22.394
148,172,22.442
152,170,22.501
157,167,22.612
161,165,22.658
165,162,22.801
169,159,22.882
173,155,22.938
177,152,23.026
181,148,23.21
183,144,23.334
185,139,23.402
187,135,23.499
189,131,23.594
189,128,23.646
191,122,23.77
191,119,23.787
192,115,23.868
192,111,24.075
191,106,24.212
189,102,24.284
188,99,24.308
186,95,24.396
184,91,24.54
182,87,24.661
179,83,24.782
176,79,25.037
172,75,25.125
169,74,25.165
165,71,25.229
161,68,25.293
157,65,25.409
154,61,25.5
150,58,25.605
149,61,26.71
145,58,27.19
141,56,27.286
137,54,27.382
132,53,27.445
128,51,27.517
124,49,27.654
120,46,27.887
115,45,27.953
111,44,28.007
107,42,28.095
103,41,28.302
98,42,28.409
94,40,28.472
90,41,28.522
86,41,28.618
82,43,28.701
78,43,28.795
74,44,28.931
69,47,29.124
65,49,29.221
61,52,29.352
57,54,29.444
53,56,29.469
49,58,29.629
45,61,29.765
41,64,29.901
38,66,29.981
44,73,30.029
58,84,30.038
63,86,30.052
88,103,30.063
91,106,30.077
94,109,30.133
100,113,30.141
108,117,30.155
112,120,30.166
116,123,30.175
121,128,30.229
124,130,30.245
126,133,30.31
129,137,30.438
128,140,30.887
124,141,30.991
120,141,31.088
116,141,31.207
112,140,31.29
108,139,31.311
103,137,31.32
100,136,31.329
103,139,31.367
108,140,31.4
115,141,31.423
111,141,31.504
114,141,31.544
108,139,31.703
112,143,31.752
108,143,31.768
105,142,31.777
100,141,31.786
95,140,31.795
91,140,31.848
85,139,31.864
72,136,31.872
58,132,31.888
71,150,31.904
84,163,31.913
78,165,31.927
68,162,31.96
57,155,31.969
20,125,31.978
20,128,32.344
21,131,32.376
22,135,32.56
23,138,32.624
24,142,32.741
25,148,32.871
26,153,32.936
26,157,33.049
27,162,33.129
29,167,33.225
30,172,33.337
31,176,33.449
32,181,33.585
33,185,33.68
34,188,33.705
35,191,33.729
40,196,34.021
44,198,34.09
49,201,34.146
53,204,34.201
57,206,34.363
62,209,34.451
66,211,34.482
69,213,34.507
73,214,34.556
77,216,34.716
80,216,34.909
85,210,35.342
88,207,35.355
97,201,35.367
83,212,36.728
87,214,36.865
91,214,37.114
95,213,37.827
100,214,37.899
104,214,38.021
108,215,38.083
112,216,38.3
116,214,39.093
120,216,39.196
123,216,39.485
127,214,39.59
131,212,39.717
135,211,39.772
139,210,39.852
143,208,39.989
140,207,40.38
137,207,40.405
140,207,40.509
145,206,40.556
149,206,40.614
154,205,40.679
158,204,40.821
162,204,40.96
166,203,41.007
171,202,41.088
175,200,41.232
180,197,41.288
184,194,41.336
189,191,41.391
193,188,41.464
197,185,41.592
200,180,41.737
204,176,41.792
206,171,41.872
209,164,41.962
210,161,41.976
212,157,42.033
214,152,42.17
214,148,42.274
215,144,42.378
216,140,42.498
217,137,42.546
218,134,42.578
219,130,42.633
220,126,42.698
220,123,42.739
220,119,42.818
221,114,42.931
222,108,43.119
222,104,43.164
222,100,43.215
222,95,43.285
222,91,43.453
218,86,43.837
217,83,43.869
215,78,43.925
213,74,44.136
210,67,44.258
206,62,44.318
204,57,44.374
201,53,44.534
198,50,44.598
195,49,44.63
192,45,44.75
189,41,44.878
185,37,44.999
181,32,45.079
178,28,45.151
174,24,45.232
171,23,45.264
166,20,45.392
162,17,45.412
